Fund_ID,Transaction_Date,Reporting_Quarter,Transaction_Type,investment_paid_in_usd,management_fees_usd,return_of_cost_distribution_usd,profit_distribution_usd,net_asset_value_usd,MOIC
1,2026-01-01,1,Distribution,0.0,-28875.0,165000.0,99000.0,1442692.31,1.44
1,2026-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1481826.92,1.45
1,2026-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1520961.54,1.46
1,2026-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1560096.15,1.47
1,2027-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1599230.77,1.48
1,2027-04-01,2,Distribution,0.0,-28875.0,165000.0,99000.0,1638365.38,1.5
1,2027-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1677500.0,1.51
1,2027-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1716634.62,1.52
1,2028-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1755769.23,1.53
1,2028-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1794903.85,1.54
1,2028-07-01,3,Distribution,0.0,-28875.0,165000.0,99000.0,1834038.46,1.56
1,2028-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1873173.08,1.57
1,2029-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1912307.69,1.58
1,2029-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1951442.31,1.59
1,2029-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,1990576.92,1.6
1,2029-10-01,4,Distribution,0.0,-28875.0,165000.0,99000.0,2029711.54,1.62
1,2030-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2068846.15,1.63
1,2030-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2107980.77,1.64
1,2030-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2147115.38,1.65
1,2030-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2186250.0,1.66
1,2031-01-01,1,Distribution,0.0,-28875.0,165000.0,99000.0,2225384.62,1.67
1,2031-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2264519.23,1.69
1,2031-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2303653.85,1.7
1,2031-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2342788.46,1.71
1,2032-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2381923.08,1.72
1,2032-04-01,2,Distribution,0.0,-28875.0,165000.0,99000.0,2421057.69,1.73
1,2032-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2460192.31,1.75
1,2032-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2499326.92,1.76
1,2033-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2538461.54,1.77
1,2033-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2577596.15,1.78
1,2033-07-01,3,Distribution,0.0,-28875.0,165000.0,99000.0,2616730.77,1.79
1,2033-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2655865.38,1.8
1,2034-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2695000.0,1.82
1,2034-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2734134.62,1.83
1,2034-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2773269.23,1.84
1,2034-10-01,4,Distribution,0.0,-28875.0,165000.0,99000.0,2812403.85,1.85
1,2035-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2851538.46,1.86
1,2035-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2890673.08,1.88
1,2035-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2929807.69,1.89
1,2035-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,2968942.31,1.9
1,2036-01-01,1,Distribution,0.0,-28875.0,165000.0,99000.0,3008076.92,1.91
1,2036-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3047211.54,1.92
1,2036-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3086346.15,1.94
1,2036-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3125480.77,1.95
1,2037-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3164615.38,1.96
1,2037-04-01,2,Distribution,0.0,-28875.0,165000.0,99000.0,3203750.0,1.97
1,2037-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3242884.62,1.98
1,2037-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3282019.23,1.99
1,2038-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3321153.85,2.01
1,2038-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3360288.46,2.02
1,2038-07-01,3,Distribution,0.0,-28875.0,165000.0,99000.0,3399423.08,2.03
1,2038-10-01,4,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3438557.69,2.04
1,2039-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3477692.31,2.05
1,2039-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3516826.92,2.07
1,2039-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3555961.54,2.08
1,2039-10-01,4,Distribution,0.0,-28875.0,165000.0,99000.0,3595096.15,2.09
1,2040-01-01,1,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3634230.77,2.1
1,2040-04-01,2,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3673365.38,2.11
1,2040-07-01,3,Fee/NAV Update,0.0,-28875.0,0.0,0.0,3712500.0,2.12
2,2026-01-01,1,Capital Call,-50000.0,-8000.0,0.0,0.0,286923.08,1.48
2,2026-04-01,2,Capital Call,-50000.0,-8000.0,0.0,0.0,308958.33,1.48
2,2026-07-01,3,Capital Call,-50000.0,-8000.0,0.0,0.0,332756.41,1.48
2,2026-10-01,4,Capital Call,-50000.0,-8000.0,0.0,0.0,358317.31,1.48
2,2027-01-01,1,Capital Call,-50000.0,-8000.0,0.0,0.0,385641.03,1.48
2,2027-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,399743.59,1.5
2,2027-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,413846.15,1.52
2,2027-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,427948.72,1.53
2,2028-01-01,1,Distribution,0.0,-8000.0,40000.0,24000.0,442051.28,1.55
2,2028-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,456153.85,1.57
2,2028-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,470256.41,1.59
2,2028-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,484358.97,1.61
2,2029-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,498461.54,1.62
2,2029-04-01,2,Distribution,0.0,-8000.0,40000.0,24000.0,512564.1,1.64
2,2029-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,526666.67,1.66
2,2029-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,540769.23,1.68
2,2030-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,554871.79,1.69
2,2030-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,568974.36,1.71
2,2030-07-01,3,Distribution,0.0,-8000.0,40000.0,24000.0,583076.92,1.73
2,2030-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,597179.49,1.75
2,2031-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,611282.05,1.76
