Fund_ID,Transaction_Date,Reporting_Quarter,Transaction_Type,Investment_MM_USD,Fees_MM_USD,Return_of_Cost_MM_USD,Profit_MM_USD,Quarterly_NAV_USD,MOIC
1,2022-03-30,1,Capital Call,-0.1918,-0.033,0.0,0.0,158841.97,1.81
1,2022-06-30,2,Capital Call,-0.1591,-0.033,0.0,0.0,281864.29,1.81
1,2022-09-30,3,Capital Call,-0.1884,-0.033,0.0,0.0,434575.47,1.81
1,2022-12-30,4,Capital Call,-0.1535,-0.033,0.0,0.0,551784.46,1.81
1,2023-03-30,1,Capital Call,-0.1614,-0.033,0.0,0.0,670650.76,1.81
1,2023-06-30,2,Capital Call,-0.1652,-0.033,0.0,0.0,793758.0,1.81
1,2023-09-30,3,Capital Call,-0.1646,-0.033,0.0,0.0,911181.9,1.81
1,2023-12-30,4,Capital Call,-0.1647,-0.033,0.0,0.0,1030867.67,1.81
1,2024-03-30,1,Capital Call,-0.185,-0.033,0.0,0.0,1198784.41,1.81
1,2024-06-30,2,Capital Call,-0.1771,-0.033,0.0,0.0,1364695.97,1.81
1,2024-09-30,3,Capital Call,-0.1597,-0.033,0.0,0.0,1530203.3,1.81
1,2024-12-30,4,Capital Call,-0.1925,-0.033,0.0,0.0,1703644.25,1.81
1,2025-03-30,1,Capital Call,-0.1567,-0.033,0.0,0.0,1849794.12,1.81
1,2025-06-30,2,Capital Call,-0.1577,-0.033,0.0,0.0,1976361.55,1.81
1,2025-09-30,3,Capital Call,-0.1901,-0.033,0.0,0.0,2172777.53,1.81
1,2025-12-30,4,Capital Call,-0.1655,-0.033,0.0,0.0,2340897.0,1.81
1,2026-03-30,1,Capital Call,-0.1603,-0.033,0.0,0.0,,1.81
1,2026-03-30,1,Distribution,0.0,0.0,0.0112,0.0,2511336.79,1.81
1,2026-06-30,2,Capital Call,-0.1914,-0.033,0.0,0.0,,1.81
1,2026-06-30,2,Distribution,0.0,0.0,0.0195,0.0,2695306.39,1.81
1,2026-09-30,3,Capital Call,-0.1907,-0.033,0.0,0.0,,1.81
1,2026-09-30,3,Distribution,0.0,0.0,0.028,0.0,2840847.86,1.81
1,2026-12-30,4,Capital Call,-0.1545,-0.033,0.0,0.0,,1.81
1,2026-12-30,4,Distribution,0.0,0.0,0.0478,0.0,2947616.19,1.81
1,2027-03-30,1,Capital Call,-0.1803,-0.0165,0.0,0.0,,1.81
1,2027-03-30,1,Distribution,0.0,0.0,0.0828,0.0,3169611.82,1.81
1,2027-06-30,2,Capital Call,-0.1807,-0.0165,0.0,0.0,,1.81
1,2027-06-30,2,Distribution,0.0,0.0,0.1184,0.0,3332893.17,1.81
1,2027-09-30,3,Capital Call,-0.2022,-0.0165,0.0,0.0,,1.81
1,2027-09-30,3,Distribution,0.0,0.0,0.1562,0.0,3626898.3,1.81
1,2027-12-30,4,Capital Call,-0.201,-0.0165,0.0,0.0,,1.81
1,2027-12-30,4,Distribution,0.0,0.0,0.2247,0.0,3696481.47,1.81
1,2028-03-30,1,Capital Call,-0.2028,-0.0165,0.0,0.0,,1.81
1,2028-03-30,1,Distribution,0.0,0.0,0.336,0.0,3792358.76,1.81
1,2028-06-30,2,Capital Call,-0.2009,-0.0165,0.0,0.0,,1.81
1,2028-06-30,2,Distribution,0.0,0.0,0.3837,0.0,3774859.37,1.81
1,2028-09-30,3,Capital Call,-0.1739,-0.0165,0.0,0.0,,1.81
1,2028-09-30,3,Distribution,0.0,0.0,0.5633,0.0,3599902.76,1.81
1,2028-12-30,4,Capital Call,-0.1828,-0.0165,0.0,0.0,,1.81
1,2028-12-30,4,Distribution,0.0,0.0,0.578,0.0,3352141.2,1.81
1,2029-03-30,1,Capital Call,-0.1825,-0.0165,0.0,0.0,,1.81
1,2029-03-30,1,Distribution,0.0,0.0,0.7694,0.0,2956161.21,1.81
1,2029-06-30,2,Capital Call,-0.2057,-0.0165,0.0,0.0,,1.81
1,2029-06-30,2,Distribution,0.0,0.0,0.8186,0.0,2433159.82,1.81
1,2029-09-30,3,Capital Call,-0.1985,-0.0165,0.0,0.0,,1.81
1,2029-09-30,3,Distribution,0.0,0.0,0.9335,0.0,1823009.09,1.81
1,2029-12-30,4,Capital Call,-0.2009,-0.0165,0.0,0.0,,1.81
1,2029-12-30,4,Distribution,0.0,0.0,0.9199,0.0,1189849.27,1.81
1,2030-03-30,1,Distribution,0.0,0.0,0.6091,0.2246,398319.95,1.81
1,2030-06-30,2,Distribution,0.0,0.0,0.0,0.9114,1000.0,1.81
1,2030-09-30,3,Distribution,0.0,0.0,0.0,0.8903,1000.0,1.81
1,2030-12-30,4,Distribution,0.0,0.0,0.0,0.7733,1000.0,1.81
1,2031-03-30,1,Distribution,0.0,0.0,0.0,0.6067,1000.0,1.81
1,2031-06-30,2,Distribution,0.0,0.0,0.0,0.5575,1000.0,1.81
1,2031-09-30,3,Distribution,0.0,0.0,0.0,0.4449,1000.0,1.81
1,2031-12-30,4,Distribution,0.0,0.0,0.0,0.3252,1000.0,1.81
1,2032-03-30,1,Distribution,0.0,0.0,0.0,0.2304,1000.0,1.81
1,2032-06-30,2,Distribution,0.0,0.0,0.0,0.1682,1000.0,1.81
1,2032-09-30,3,Distribution,0.0,0.0,0.0,0.1058,1000.0,1.81
1,2032-12-30,4,Distribution,0.0,0.0,0.0,0.0734,1000.0,1.81
1,2033-03-30,1,Distribution,0.0,0.0,0.0,0.054,1000.0,1.81
1,2033-06-30,2,Distribution,0.0,0.0,0.0,0.0317,1000.0,1.81
1,2033-09-30,3,Distribution,0.0,0.0,0.0,0.0197,1000.0,1.81
1,2033-12-30,4,Distribution,0.0,0.0,0.0,0.0099,1000.0,1.81
1,2034-03-30,1,NAV Update,0.0,0.0,0.0,0.0,1000.05,1.81
1,2034-06-30,2,NAV Update,0.0,0.0,0.0,0.0,1008.22,1.81
1,2034-09-30,3,NAV Update,0.0,0.0,0.0,0.0,1008.01,1.81
1,2034-12-30,4,NAV Update,0.0,0.0,0.0,0.0,1011.48,1.81
1,2035-03-30,1,NAV Update,0.0,0.0,0.0,0.0,1016.09,1.81
1,2035-06-30,2,NAV Update,0.0,0.0,0.0,0.0,1018.81,1.81
1,2035-09-30,3,NAV Update,0.0,0.0,0.0,0.0,1025.64,1.81
1,2035-12-30,4,NAV Update,0.0,0.0,0.0,0.0,1016.22,1.81
1,2036-03-30,1,NAV Update,0.0,0.0,0.0,0.0,1006.39,1.81
1,2036-06-30,2,NAV Update,0.0,0.0,0.0,0.0,1009.32,1.81
1,2036-09-30,3,NAV Update,0.0,0.0,0.0,0.0,1007.03,1.81
1,2036-12-30,4,NAV Update,0.0,0.0,0.0,0.0,1003.83,1.81
10,2017-03-30,1,Capital Call,-0.5821,-0.1045,0.0,0.0,477586.33,1.54
10,2017-06-30,2,Capital Call,-0.5872,-0.1045,0.0,0.0,952433.69,1.54
10,2017-09-30,3,Capital Call,-0.5355,-0.1045,0.0,0.0,1378537.28,1.54
10,2017-12-30,4,Capital Call,-0.6044,-0.1045,0.0,0.0,1868280.15,1.54
