Fund_ID,Fund_Name,Vintage_Year,Primary_Strategy,Sub_Strategy,Total_Commitment_MM_USD,Comment
1,Pinnacle Tech Fund VI,2021,Private Equity,Growth Equity,6.60,"Focused on B2B SaaS in North America."
2,Apex Venture Partners III,2023,Venture Capital,Early-Stage VC,1.60,"High-conviction bets on AI/ML startups."
3,Global Buyout Capital X,2018,Private Equity,Leveraged Buyout (LBO),32.50,"Targets mature, industrial companies for operational improvement."
4,InfraStructure Builders I,2017,Infrastructure,Core/Value-Add,11.60,"Investment in renewable energy and transport assets."
5,Distress & Recovery Fund V,2020,Private Credit,Distressed Debt,4.30,"Special situations in cyclical industries."
6,Frontier HealthTech II,2024,Private Equity,Growth Equity,2.90,"Minority stakes in profitable European HealthTech firms."
7,Emerging Markets PE VII,2019,Private Equity,Buyout (EM),7.30,"Focused on consumer goods in Southeast Asia."
8,Mid-Market Value Fund IV,2022,Private Equity,LBO (Mid-Market),8.50,"Targets stable, regional service businesses."
9,Innovation Seed Fund I,2024,Venture Capital,Seed/Early-Stage VC,0.70,"Pre-seed funding for university spin-outs."
10,Real Estate Alpha III,2016,Real Estate,Core-Plus,20.90,"Investments in US logistics and multi-family."
11,Sustainable Impact Fund,2023,Private Equity,Impact Investing,4.80,"Focused on achieving measurable ESG goals alongside financial returns."
12,Secondaries Solution 8,2021,Secondaries,LP-Led,13.90,"Acquiring LP stakes in older, diversified PE funds."
13,European Turnaround Fund,2019,Private Equity,Distressed Buyout,3.50,"Acquiring and restructuring financially troubled European SMEs."
14,Quantum Ventures II,2022,Venture Capital,Deep Tech VC,1.20,"Focus on quantum computing and advanced materials."
15,Credit Opportunities VI,2020,Private Credit,Direct Lending,5.80,"Unitranche loans to middle-market companies."
16,Asia Growth Capital V,2023,Private Equity,Growth Equity,10.10,"Technology and internet sectors in China and India."
17,Harvest Fund 2015,2015,Private Equity,LBO (Exiting),24.00,"Nearing end of investment period; focused on exits."
18,Special Situations Fund IV,2022,Private Credit,Mezzanine,2.50,"Subordinated debt with equity upside."
19,CyberSec Accelerator I,2024,Venture Capital,Sector Specialist,0.90,"Focused exclusively on cybersecurity and defense technology."
20,Agri-Fund Europe II,2020,Real Assets,Agriculture/Farmland,3.20,"Farmland and agricultural supply chain investments."
21,Global Consumer Partners,2018,Private Equity,LBO (Consumer),17.00,"Acquiring majoritarian stakes in established consumer brands."
22,FinTech Innovators III,2023,Private Equity,Growth Equity,4.50,"Investments in late-stage payments and lending platforms."
23,Horizon Co-Investment,2021,Co-Investment,Multi-Strategy,4.60,"Allocating capital alongside various GP partners."
24,Bio-Discovery Fund X,2022,Venture Capital,Biotech/Life Sciences,14.70,"R&D and clinical trials for pharmaceutical companies."
25,LatAm Infra Fund II,2019,Infrastructure,Emerging Markets,6.20,"Toll roads and port development in Latin America."
26,Core Buyout Fund XI,2017,Private Equity,LBO (Large Cap),42.60,"Diversified portfolio across several global industries."
27,New Horizons VC IV,2024,Venture Capital,Seed/Series A VC,1.20,"Focus on companies with decentralized business models."
28,Fund-of-Funds Global V,2023,Fund of Funds (FoF),Global Diversified,10.90,"Investing across a portfolio of 15+ underlying PE funds."
29,Clean Energy Partners III,2021,Infrastructure,Renewable Energy,7.10,"Primarily investing in solar and wind power projects."
30,Retail Restructuring Fund,2020,Private Equity,Distressed Buyout,2.20,"Focused on acquiring and revitalizing bankrupt retail chains."
31,Global FoF Diversified IV,2024,Fund of Funds (FoF),Multi-Strategy,21.70,"Target allocation: 60% Buyout, 30% Growth, 10% VC."
32,Secondary Market Opportunities VII,2023,Secondaries,Multi-Strategy,50.30,"Mixture of traditional LP sales and continuation funds."
33,US Office & Retail Re-Cap Fund,2022,Real Estate,Opportunistic,9.30,"Focused on converting or modernizing distressed urban assets."
34,FoF Emerging Manager I,2024,Fund of Funds (FoF),Emerging Manager,2.70,"Seeks out high-potential, first-time and smaller-manager funds."
35,Venture Secondaries IV,2023,Secondaries,VC Secondaries,7.60,"Acquiring older VC fund interests at a discount; focus on fund tail-ends."
36,European Logistics Fund V,2021,Real Estate,Core/Core-Plus,26.30,"Stabilized income-generating warehouse and distribution centers."
37,FoF Asia PE Select III,2022,Fund of Funds (FoF),Asia Focus,11.60,"Dedicated to primary commitments in top-quartile Asian GPs."
38,Real Estate Debt & Credit I,2024,Real Estate,Real Estate Debt,5.40,"Origination of mezzanine and bridge financing for commercial properties."
39,GP-Led Secondary Fund II,2023,Secondaries,GP-Led/Continuation,16.20,"Focus on single-asset continuation funds and multi-asset restructurings."
40,Digital Infrastructure REIT,2022,Infrastructure,Digital Assets,37.30,"Towers, data centers, and fiber optic cable assets."
41,FoF Latin America Strategy II,2021,Fund of Funds (FoF),Regional Focus,3.50,"Investment in PE funds with a deep focus on Brazil and Mexico."
42,RE Value-Add Multifamily IV,2024,Real Estate,Value-Add,14.70,"Acquiring apartment complexes for renovation in high-growth US metros."
43,Secondary Real Assets Fund I,2022,Secondaries,Real Assets,8.50,"Secondary transactions for Infrastructure and Real Estate funds."
44,Thematic FoF Health & Tech,2023,Fund of Funds (FoF),Thematic Specialist,5.00,"Investing solely in specialist healthcare and technology funds."
45,Residential Land Development I,2024,Real Estate,Development,2.30,"Capital for the entitlement and development of master-planned communities."
